REQUESTID,DATETIMEINIT,SOURCE,DESCRIPTION,REQCATEGORY,STATUS,REFERREDTO,DATETIMECLOSED,BEAT,PROBADDRESS,City,State,Ward,Postcode
328748,2010-02-16T11:08:31.000,Telephone/Email,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2010-02-17T16:46:41.000,07X,3420 LOUISE ST,Wandsworth,London,Bedford,SW12 9AD
503413,2014-02-13T15:55:34.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2014-02-14T18:12:29.000,33X,G ST & 92ND AV,Wandsworth,London,Balham,SW12 9AA
395425,2012-01-26T13:56:48.000,Online Form,Street Lighting Fault,Street Lighting,Resolved,,2012-03-01T11:42:37.000,06X,834 29TH ST,Wandsworth,London,East Putney,SW15 2AA
868037,2019-01-19T14:20:11.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Cancelled by Customer,,,,1705 39TH AVE,Wandsworth,London,Nightingale,SW12 8AE
310172,2009-07-14T13:10:54.000,Telephone/Email,Sewers - Tap inspection,Drainage,Resolved,,2009-07-28T10:23:55.000,13Z,6250  CHELTON DR,Wandsworth,London,Graveney,SW17 0AB
842939,2018-09-26T12:49:57.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2018-09-29T05:46:47.000,31Y,66 AIRPORT ACCESS RD,Wandsworth,London,Tooting,SW17 8AA
422998,2012-08-24T14:48:35.000,Telephone/Email,Storm Inlet Grate - Damaged/Missing,Blocked Drains,Resolved,,2012-08-30T15:23:53.000,20X,E 12TH ST & 31ST AV,Wandsworth,London,East Putney,SW15 2AA
360496,2011-02-09T16:20:03.000,Telephone/Email,Tree - Down,Tree Maintenance,Resolved,,2011-02-14T09:26:13.000,10Y,989 41ST ST,Wandsworth,London,Tooting,SW17 7AA
792070,2018-02-05T11:12:14.000,Online Form,Rough Sleeping Report,Fly-Tipping,Cancelled by Customer,,,07X,HOLLIS ST & W MACARTHUR BLVD,Wandsworth,London,Southfields,SW18 5AA
847885,2018-10-18T15:53:45.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-10-22T20:21:51.000,20X,2734 E 7TH ST,Wandsworth,London,Bedford,SW12 8AB
685722,2016-10-01T17:56:07.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2016-10-12T10:52:42.000,06X,30TH ST & MARTIN LUTHER KING JR WAY,Wandsworth,London,West Putney,SW15 2AD
313151,2009-08-19T11:07:29.000,Telephone/Email,Litter in Parks,Parks Maintenance,Resolved,,2009-08-27T08:41:11.000,22Y,AVENUE TERRACE PARK,Wandsworth,London,Graveney,SW17 0AB
669053,2016-07-19T08:39:02.000,Phone,City Bldg - Plumbing,Council Building Maintenance,Resolved,,2016-07-19T13:59:50.000,25X,LEONA LODGE,Wandsworth,London,Northcote,SW11 6AC
399559,2012-03-05T14:48:43.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2012-03-06T15:41:43.000,25X,3750 MCCLELLAND ST,Wandsworth,London,West Putney,SW15 2AF
910827,2019-06-04T11:13:54.000,FixMyStreet,Street Cleaning - Complaints,Environmental Services,In Progress,,,30Y,2732 74TH AVE,Wandsworth,London,Northcote,SW11 6AC
938458,2019-08-26T13:11:26.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-09-10T20:22:40.000,17X,1319 E 17TH ST,Wandsworth,London,Tooting,SW17 7AA
684705,2016-09-27T09:06:34.000,FixMyStreet,Inspections - Utility Wire,Right of Way Inspectors,In Progress,,,15X,LAKESHORE AV & BODEN WY,Wandsworth,London,Tooting,SW17 8AC
901074,2019-05-02T12:27:58.000,Phone,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-05-31T07:30:29.000,24X,1975 40TH AVE,Wandsworth,London,Furzedown,SW16 5AB
491346,2013-11-21T13:43:29.000,Phone,Blocked Drains,Blocked Drains,Resolved,,2013-11-27T09:19:18.000,01X,444 EMBARCADERO WEST,Wandsworth,London,East Putney,SW15 2AB
735471,2017-05-30T12:13:10.000,Other,Oakland Police - Abandoned Auto,OTHER,Referred to External Agency,"OPD ABANDONED AUTOS, PUBLIC",,30X,AVENAL AV & HAVENSCOURT BLVD,Wandsworth,London,Southfields,SW19 6AA
631981,2016-02-01T14:03:15.000,Email,"City Bldg - Heating, Ventilation, and Cooling",Council Building Maintenance,Resolved,,2016-02-04T08:27:41.000,03Y,POLICE ADMIN BLDG,Wandsworth,London,Tooting,SW17 7AB
532762,2014-08-04T07:21:09.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2014-08-09T15:45:41.000,31Y,RAILROAD AV & LOUISIANA ST,Wandsworth,London,Queenstown,SW8 4AB
484413,2013-10-05T15:10:04.000,Online Form,Illegal Dumping � mattress/boxspring,Fly-Tipping,Cancelled by Customer,,,23X,SAN LEANDRO ST & 41ST AV,Wandsworth,London,Shaftesbury,SW11 2AD
610730,2015-10-14T09:26:58.000,Email,Fly-Tipping,Fly-Tipping,Resolved,,2015-10-16T14:52:36.000,24X,4025 NEVIL ST ( DEAD END ROAD ),Wandsworth,London,Furzedown,SW16 6AA
582687,2015-05-19T22:08:53.000,Online Form,Fly-Tipping,Fly-Tipping,Resolved,,2015-05-23T16:41:36.000,19X,2040 SOLANO WAY,Wandsworth,London,Wandsworth Town,SW18 3AD
348474,2010-09-27T08:10:01.000,Telephone/Email,Sewers - Blockage,Drainage,Resolved,,2010-10-06T10:25:04.000,22Y,3500 MOUNTAIN BLVD,Wandsworth,London,Southfields,SW18 5AC
555949,2014-12-15T15:01:34.000,FixMyStreet,Pothole (report from SeeClickFix),Street and Pavement Maintenance,Cancelled by Customer,,,12Y,6124-6140 CHABOT ROAD,Wandsworth,London,East Putney,SW15 2AA
657591,2016-06-01T08:14:26.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Cancelled by Customer,,,,3427 ETTIE ST,Wandsworth,London,West Hill,SW15 3AA
555343,2014-12-11T12:01:32.000,FixMyStreet,Oakland Police - Abandoned Auto,OTHER,Referred to External Agency,"OPD ABANDONED AUTOS, PUBLIC",,35X,2301 AUSEON AVENUE,Wandsworth,London,Tooting,SW17 8AA
798972,2018-03-04T18:21:22.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-03-06T17:08:43.000,08X,38TH ST & RUBY ST,Wandsworth,London,Bedford,SW12 8AA
833491,2018-08-13T14:00:58.000,Phone,Traffic - Other/Complex,Traffic Management,In Progress,,,29X,6609 BRANN ST,Wandsworth,London,East Putney,SW15 2AB
879341,2019-02-19T07:37:36.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,,7801�7899 RUDSDALE ST,Wandsworth,London,West Putney,SW15 2AE
544865,2014-10-08T11:24:19.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2014-10-14T17:23:51.000,10X,1027 60TH ST,Wandsworth,London,Furzedown,SW16 5AB
382622,2011-09-20T13:38:24.000,Telephone/Email,Street Medians (Landscaped),Parks Maintenance,Resolved,,2011-10-25T07:40:38.000,25Y,KELLER AV & MOUNTAIN BLVD,Wandsworth,London,Southfields,SW18 5AA
625505,2016-01-01T19:11:04.000,Online Form,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2016-01-05T15:38:04.000,13Y,6160 FAIRLANE DR,Wandsworth,London,Wandsworth Town,SW18 3AE
416203,2012-07-06T17:35:12.000,FixMyStreet,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2012-07-11T07:42:04.000,07X,2401 UNION ST,Wandsworth,London,East Putney,SW15 2AB
550242,2014-11-11T19:00:28.000,FixMyStreet,Graffiti (report from SeeClickFix),Graffiti Removal,Cancelled by Customer,,,04X,2121 HARRISON ST,Wandsworth,London,West Putney,SW15 1AC
915625,2019-06-16T10:16:09.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-08-21T15:00:08.000,10X,5866 MARSHALL ST,Wandsworth,London,Furzedown,SW16 6AB
335023,2010-04-26T15:59:00.000,Telephone/Email,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2010-09-18T12:40:38.000,25Y,CAMPUS & REDWOOD RD,Wandsworth,London,Northcote,SW11 6AA
542728,2014-09-26T12:08:38.000,Telephone/Email,Garbage - Pre-6am Residential Collection,Recycling,Resolved,,2014-09-29T11:50:27.000,19X,1536 6TH AV,Wandsworth,London,Northcote,SW11 5AA
860830,2018-12-19T14:56:08.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-01-02T10:11:05.000,26Y,908 70TH AVE,Wandsworth,London,East Putney,SW15 2AC
949015,2019-09-30T09:34:17.000,Phone,Litter - Street Litter Container - Cleaning Needed,Fly-Tipping,Resolved,,2019-10-03T14:37:30.000,25X,BERNEVES CT & MOUNTAIN BLVD,Wandsworth,London,Southfields,SW19 6AB
341436,2010-07-08T08:25:15.000,Telephone/Email,Fly-Tipping,Graffiti Removal,Resolved,,2010-07-19T09:55:28.000,,73RD AVE AND FAVOR ST.,Wandsworth,London,Fairfield,SW18 1AA
962367,2019-11-15T08:03:26.000,Email,Litter - Green Bag Pickup,Fly-Tipping,Resolved,,2019-11-18T19:25:39.000,22X,FLAGG AVE & MONTANA ST,Wandsworth,London,Northcote,SW11 5AA
398833,2012-02-28T10:15:20.000,Online Form,City Bldg - Key / Lock Management,Council Building Maintenance,Cancelled by Customer,,,,250 FHOP,Wandsworth,London,Queenstown,SW8 4AC
554713,2014-12-09T11:21:15.000,Email,Tree - Pruning,Tree Maintenance,UNFUNDED,,,33X,1335 87TH AV,Wandsworth,London,Northcote,SW11 6AA
378897,2011-08-12T15:16:19.000,Telephone/Email,Rough Sleeping Report,Fly-Tipping,Resolved,,2011-08-16T15:19:41.000,23X,1236 37TH AV,Wandsworth,London,East Putney,SW15 2AA
613258,2015-10-26T22:36:49.000,Online Form,Streets - Potholes/Depression,Street and Pavement Maintenance,Cancelled by Customer,,,,VAN BURRN BETWEEN LEE & PERKINS,Wandsworth,London,Roehampton and Putney Heath,SW15 4AB
643586,2016-03-25T12:40:24.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2016-03-29T16:30:06.000,05Y,CAMPBELL ST & 20TH ST,Wandsworth,London,East Putney,SW15 1AB
861576,2018-12-24T08:28:16.000,Email,Fly-Tipping,Fly-Tipping,Resolved,,2018-12-27T14:37:26.000,26X,1058 50TH AVE,Wandsworth,London,East Putney,SW15 2AB
322415,2009-11-23T10:46:07.000,Telephone/Email,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2009-12-02T15:58:16.000,20X,PETERSON ST & CHAPMAN ST,Wandsworth,London,West Hill,SW15 3AA
919112,2019-06-26T16:49:14.000,Email,Litter in Parks,Parks Maintenance,Cancelled by Customer,,,19X,UNION POINT PARK,Wandsworth,London,Southfields,SW19 6AB
318078,2009-10-12T10:07:20.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2009-10-13T11:51:45.000,02X,333 FILBERT ST,Wandsworth,London,West Putney,SW15 1AC
331125,2010-03-10T14:34:39.000,Telephone/Email,Graffiti in a Park,Council Building Maintenance,Resolved,,2010-03-10T14:43:49.000,19X,ATHOL PLAZA,Wandsworth,London,Northcote,SW11 6AC
849547,2018-10-26T11:22:26.000,Telephone Voicemail,Missed Rubbish Collection,Recycling,Resolved,,2018-10-29T09:10:21.000,25X,4026 QUIGLEY ST,Wandsworth,London,West Hill,SW18 1AE
633672,2016-02-09T10:33:43.000,Online Form,TE - Traffic Safety (non-emergency),Traffic Management,UNFUNDED,,,09X,BAYO VISTA AV & FAIRMOUNT AV,Wandsworth,London,Bedford,SW12 8AC
